technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,DBSCAN,eps=0.05;min_samples=5,4.0,0.002555986582831085,0.15817997793341856,0.005030683736363949
Doc2Vec,DBSCAN,eps=0.05;min_samples=10,2.0,0.001616832787583552,0.16800134324843824,0.003202841658484378
Doc2Vec,DBSCAN,eps=0.05;min_samples=15,2.0,0.001616832787583552,0.16800134324843824,0.003202841658484378
Doc2Vec,DBSCAN,eps=0.05;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.05;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.1;min_samples=5,13.0,0.008832434638422494,0.1620534186718803,0.016751839905123415
Doc2Vec,DBSCAN,eps=0.1;min_samples=10,3.0,0.0026414772355707254,0.16453192997490326,0.0051994794483795626
Doc2Vec,DBSCAN,eps=0.1;min_samples=15,2.0,0.0017021163795972025,0.16923721271829073,0.003370335350271804
Doc2Vec,DBSCAN,eps=0.1;min_samples=20,2.0,0.0017021163795972025,0.16923721271829073,0.003370335350271804
Doc2Vec,DBSCAN,eps=0.1;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.15000000000000002;min_samples=5,24.0,0.016026841083489875,0.16212552096248992,0.029170087111988055
Doc2Vec,DBSCAN,eps=0.15000000000000002;min_samples=10,2.0,0.0040977145242250025,0.19373638795666134,0.00802567808932336
Doc2Vec,DBSCAN,eps=0.15000000000000002;min_samples=15,2.0,0.0040977145242250025,0.19373638795666134,0.00802567808932336
Doc2Vec,DBSCAN,eps=0.15000000000000002;min_samples=20,2.0,0.0040977145242250025,0.19373638795666134,0.00802567808932336
Doc2Vec,DBSCAN,eps=0.15000000000000002;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.2;min_samples=5,35.0,0.02700624771602432,0.1656041290897491,0.04643930620107875
Doc2Vec,DBSCAN,eps=0.2;min_samples=10,5.0,0.01001600117847885,0.17559924858596332,0.018951053676990914
Doc2Vec,DBSCAN,eps=0.2;min_samples=15,4.0,0.008699825664719368,0.1824330022171146,0.01660766841959237
Doc2Vec,DBSCAN,eps=0.2;min_samples=20,2.0,0.004980369918014795,0.16607853184486723,0.009670733478399054
Doc2Vec,DBSCAN,eps=0.2;min_samples=25,2.0,0.004980369918014795,0.16607853184486723,0.009670733478399054
Doc2Vec,DBSCAN,eps=0.25;min_samples=5,47.0,0.04624932697063926,0.1821556057214172,0.07376875857495581
Doc2Vec,DBSCAN,eps=0.25;min_samples=10,7.0,0.019869183779720224,0.1882558453893159,0.03594464351146293
Doc2Vec,DBSCAN,eps=0.25;min_samples=15,4.0,0.014126424391793197,0.17706850510821265,0.02616538896842384
Doc2Vec,DBSCAN,eps=0.25;min_samples=20,3.0,0.011813833971094463,0.17515559080581855,0.022134732150541573
Doc2Vec,DBSCAN,eps=0.25;min_samples=25,3.0,0.011309269367056875,0.17425814030865153,0.02124006851846366
Doc2Vec,DBSCAN,eps=0.3;min_samples=5,41.0,0.05925675567199335,0.18404055815222603,0.0896487200515744
Doc2Vec,DBSCAN,eps=0.3;min_samples=10,5.0,0.030950617467272394,0.18194238104759888,0.052901965552386014
Doc2Vec,DBSCAN,eps=0.3;min_samples=15,4.0,0.02387653791926588,0.16031035133124638,0.041562743124515786
Doc2Vec,DBSCAN,eps=0.3;min_samples=20,5.0,0.020645973093148508,0.1472662292864217,0.03621481422182611
Doc2Vec,DBSCAN,eps=0.3;min_samples=25,2.0,0.012532511074528985,0.11599502458729101,0.022620972583734383
Doc2Vec,DBSCAN,eps=0.35000000000000003;min_samples=5,29.0,0.07565767714878886,0.1992997674136511,0.10967920859758022
Doc2Vec,DBSCAN,eps=0.35000000000000003;min_samples=10,5.0,0.05648290035470507,0.21203863867553574,0.08920369921095084
Doc2Vec,DBSCAN,eps=0.35000000000000003;min_samples=15,3.0,0.05139055863429754,0.21286729483949812,0.08279314353742225
Doc2Vec,DBSCAN,eps=0.35000000000000003;min_samples=20,3.0,0.049664622993256295,0.21371348596144096,0.08059895145404976
Doc2Vec,DBSCAN,eps=0.35000000000000003;min_samples=25,3.0,0.04781542588086032,0.20993307102320252,0.07789018611571269
