technique,threshold,DIARIO CATARINENSE,DIARIO CATARINENSE_articles,Globo G1,Globo G1_articles,Jornal de SC,Jornal de SC_articles,NDONLINE,NDONLINE_articles,RIC MAIS,RIC MAIS_articles
Doc2Vec,"0,5",26643,1316,1450,302,61516,1829,1368,369,13028,2357
Doc2Vec,"0,6",4510,730,201,130,12267,1198,242,184,1937,1120
Doc2Vec,"0,7",806,411,17,30,2654,873,71,67,840,690
Doc2Vec,"0,8",223,227,2,4,861,619,24,29,322,406
Doc2Vec,"0,9",60,102,1,2,412,380,4,8,95,168
NEL,"0,5",445,383,94,66,1230,900,25,36,677,713
NEL,"0,6",293,246,24,33,824,679,7,14,244,385
NEL,"0,7",197,155,5,10,631,528,3,6,123,210
NEL,"0,8",163,110,1,2,498,419,2,4,61,106
NEL,"0,9",142,77,0,0,280,254,1,2,17,34
TF-IDF,"0,5",683,555,143,93,2774,1145,119,125,987,992
TF-IDF,"0,6",326,360,63,47,1666,939,78,68,659,690
TF-IDF,"0,7",189,241,16,20,1061,771,59,34,504,468
TF-IDF,"0,8",103,153,2,4,414,552,42,18,317,283
TF-IDF,"0,9",43,69,1,2,243,379,3,6,65,118
BOW,"0,5",1307,755,262,137,4246,1220,232,204,2204,1420
BOW,"0,6",518,485,96,70,2058,994,102,106,884,882
BOW,"0,7",266,302,25,32,1319,814,71,53,580,576
BOW,"0,8",136,185,3,6,503,598,55,28,434,363
BOW,"0,9",60,91,1,2,252,379,13,16,179,187
TOTAL,,,1880,,456,,2123,,629,,3725
,,,,,,,,,,,
technique,threshold,,,,,,,,,,
Doc2Vec,"0,5",,"70,00%",,"66,23%",,"86,15%",,"58,66%",,"63,28%"
Doc2Vec,"0,6",,"38,83%",,"28,51%",,"56,43%",,"29,25%",,"30,07%"
Doc2Vec,"0,7",,"21,86%",,"6,58%",,"41,12%",,"10,65%",,"18,52%"
Doc2Vec,"0,8",,"12,07%",,"0,88%",,"29,16%",,"4,61%",,"10,90%"
Doc2Vec,"0,9",,"5,43%",,"0,44%",,"17,90%",,"1,27%",,"4,51%"
NEL,"0,5",,"20,37%",,"14,47%",,"42,39%",,"5,72%",,"19,14%"
NEL,"0,6",,"13,09%",,"7,24%",,"31,98%",,"2,23%",,"10,34%"
NEL,"0,7",,"8,24%",,"2,19%",,"24,87%",,"0,95%",,"5,64%"
NEL,"0,8",,"5,85%",,"0,44%",,"19,74%",,"0,64%",,"2,85%"
NEL,"0,9",,"4,10%",,"0,00%",,"11,96%",,"0,32%",,"0,91%"
TF-IDF,"0,5",,"29,52%",,"20,39%",,"53,93%",,"19,87%",,"26,63%"
TF-IDF,"0,6",,"19,15%",,"10,31%",,"44,23%",,"10,81%",,"18,52%"
TF-IDF,"0,7",,"12,82%",,"4,39%",,"36,32%",,"5,41%",,"12,56%"
TF-IDF,"0,8",,"8,14%",,"0,88%",,"26,00%",,"2,86%",,"7,60%"
TF-IDF,"0,9",,"3,67%",,"0,44%",,"17,85%",,"0,95%",,"3,17%"
BOW,"0,5",,"40,16%",,"30,04%",,"57,47%",,"32,43%",,"38,12%"
BOW,"0,6",,"25,80%",,"15,35%",,"46,82%",,"16,85%",,"23,68%"
BOW,"0,7",,"16,06%",,"7,02%",,"38,34%",,"8,43%",,"15,46%"
BOW,"0,8",,"9,84%",,"1,32%",,"28,17%",,"4,45%",,"9,74%"
BOW,"0,9",,"4,84%",,"0,44%",,"17,85%",,"2,54%",,"5,02%"
