technique,threshold,portal1,portal2,match_percentage
Doc2Vec,0.5,RIC MAIS,Jornal de SC,0.43040355677154585
Doc2Vec,0.5,RIC MAIS,Globo G1,0.13298254006218607
Doc2Vec,0.5,RIC MAIS,DIARIO CATARINENSE,0.4413916146297948
Doc2Vec,0.5,RIC MAIS,NDONLINE,0.2797427652733119
Doc2Vec,0.5,Jornal de SC,Globo G1,0.16440480806514152
Doc2Vec,0.5,Jornal de SC,DIARIO CATARINENSE,0.6395203597302024
Doc2Vec,0.5,Jornal de SC,NDONLINE,0.2819767441860465
Doc2Vec,0.5,Globo G1,DIARIO CATARINENSE,0.19820205479452055
Doc2Vec,0.5,Globo G1,NDONLINE,0.5013824884792627
Doc2Vec,0.5,DIARIO CATARINENSE,NDONLINE,0.34316460741331206
Doc2Vec,0.6,RIC MAIS,Jornal de SC,0.10892612859097127
Doc2Vec,0.6,RIC MAIS,Globo G1,0.017459937813920114
Doc2Vec,0.6,RIC MAIS,DIARIO CATARINENSE,0.11115075825156111
Doc2Vec,0.6,RIC MAIS,NDONLINE,0.13711529627928343
Doc2Vec,0.6,Jornal de SC,Globo G1,0.02404032570763862
Doc2Vec,0.6,Jornal de SC,DIARIO CATARINENSE,0.43217586809892583
Doc2Vec,0.6,Jornal de SC,NDONLINE,0.05450581395348837
Doc2Vec,0.6,Globo G1,DIARIO CATARINENSE,0.030393835616438356
Doc2Vec,0.6,Globo G1,NDONLINE,0.19447004608294932
Doc2Vec,0.6,DIARIO CATARINENSE,NDONLINE,0.05779194898365883
Doc2Vec,0.7,RIC MAIS,Jornal de SC,0.022571819425444596
Doc2Vec,0.7,RIC MAIS,Globo G1,0.0031093039942597465
Doc2Vec,0.7,RIC MAIS,DIARIO CATARINENSE,0.01320249776984835
Doc2Vec,0.7,RIC MAIS,NDONLINE,0.10587965089572807
Doc2Vec,0.7,Jornal de SC,Globo G1,0.0007754943776657619
Doc2Vec,0.7,Jornal de SC,DIARIO CATARINENSE,0.3722208343742193
Doc2Vec,0.7,Jornal de SC,NDONLINE,0.006904069767441861
Doc2Vec,0.7,Globo G1,DIARIO CATARINENSE,0.0
Doc2Vec,0.7,Globo G1,NDONLINE,0.041474654377880185
Doc2Vec,0.7,DIARIO CATARINENSE,NDONLINE,0.0023913909924272616
Doc2Vec,0.8,RIC MAIS,Jornal de SC,0.004103967168262654
Doc2Vec,0.8,RIC MAIS,Globo G1,0.0
Doc2Vec,0.8,RIC MAIS,DIARIO CATARINENSE,0.0023193577163247102
Doc2Vec,0.8,RIC MAIS,NDONLINE,0.09554432705558108
Doc2Vec,0.8,Jornal de SC,Globo G1,0.0
Doc2Vec,0.8,Jornal de SC,DIARIO CATARINENSE,0.35773170122408193
Doc2Vec,0.8,Jornal de SC,NDONLINE,0.002543604651162791
Doc2Vec,0.8,Globo G1,DIARIO CATARINENSE,0.0
Doc2Vec,0.8,Globo G1,NDONLINE,0.003686635944700461
Doc2Vec,0.8,DIARIO CATARINENSE,NDONLINE,0.0
Doc2Vec,0.9,RIC MAIS,Jornal de SC,0.0010259917920656635
Doc2Vec,0.9,RIC MAIS,Globo G1,0.0
Doc2Vec,0.9,RIC MAIS,DIARIO CATARINENSE,0.0007136485280999108
Doc2Vec,0.9,RIC MAIS,NDONLINE,0.08658704639412035
Doc2Vec,0.9,Jornal de SC,Globo G1,0.0
Doc2Vec,0.9,Jornal de SC,DIARIO CATARINENSE,0.344241818636023
Doc2Vec,0.9,Jornal de SC,NDONLINE,0.0014534883720930232
Doc2Vec,0.9,Globo G1,DIARIO CATARINENSE,0.0
Doc2Vec,0.9,Globo G1,NDONLINE,0.0
Doc2Vec,0.9,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.5,RIC MAIS,Jornal de SC,0.003590971272229822
NEL,0.5,RIC MAIS,Globo G1,0.001195886151638364
NEL,0.5,RIC MAIS,DIARIO CATARINENSE,0.009991079393398751
NEL,0.5,RIC MAIS,NDONLINE,0.09853008727606799
NEL,0.5,Jornal de SC,Globo G1,0.0
NEL,0.5,Jornal de SC,DIARIO CATARINENSE,0.36522608043967025
NEL,0.5,Jornal de SC,NDONLINE,0.002180232558139535
NEL,0.5,Globo G1,DIARIO CATARINENSE,0.0017123287671232876
NEL,0.5,Globo G1,NDONLINE,0.014746543778801843
NEL,0.5,DIARIO CATARINENSE,NDONLINE,0.0007971303308090873
NEL,0.6,RIC MAIS,Jornal de SC,0.0010259917920656635
NEL,0.6,RIC MAIS,Globo G1,0.0007175316909830184
NEL,0.6,RIC MAIS,DIARIO CATARINENSE,0.001784121320249777
NEL,0.6,RIC MAIS,NDONLINE,0.08819476343592099
NEL,0.6,Jornal de SC,Globo G1,0.0
NEL,0.6,Jornal de SC,DIARIO CATARINENSE,0.3477391956032975
NEL,0.6,Jornal de SC,NDONLINE,0.0014534883720930232
NEL,0.6,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.6,Globo G1,NDONLINE,0.0018433179723502304
NEL,0.6,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.7,RIC MAIS,Jornal de SC,0.0
NEL,0.7,RIC MAIS,Globo G1,0.0
NEL,0.7,RIC MAIS,DIARIO CATARINENSE,0.0003568242640499554
NEL,0.7,RIC MAIS,NDONLINE,0.07900780891134589
NEL,0.7,Jornal de SC,Globo G1,0.0
NEL,0.7,Jornal de SC,DIARIO CATARINENSE,0.32500624531601296
NEL,0.7,Jornal de SC,NDONLINE,0.0007267441860465116
NEL,0.7,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.7,Globo G1,NDONLINE,0.0
NEL,0.7,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.8,RIC MAIS,Jornal de SC,0.0
NEL,0.8,RIC MAIS,Globo G1,0.0
NEL,0.8,RIC MAIS,DIARIO CATARINENSE,0.0
NEL,0.8,RIC MAIS,NDONLINE,0.06706476802939826
NEL,0.8,Jornal de SC,Globo G1,0.0
NEL,0.8,Jornal de SC,DIARIO CATARINENSE,0.2653010242318261
NEL,0.8,Jornal de SC,NDONLINE,0.0
NEL,0.8,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.8,Globo G1,NDONLINE,0.0
NEL,0.8,DIARIO CATARINENSE,NDONLINE,0.0
NEL,0.9,RIC MAIS,Jornal de SC,0.0
NEL,0.9,RIC MAIS,Globo G1,0.0
NEL,0.9,RIC MAIS,DIARIO CATARINENSE,0.0
NEL,0.9,RIC MAIS,NDONLINE,0.04019292604501608
NEL,0.9,Jornal de SC,Globo G1,0.0
NEL,0.9,Jornal de SC,DIARIO CATARINENSE,0.15438421184111917
NEL,0.9,Jornal de SC,NDONLINE,0.0
NEL,0.9,Globo G1,DIARIO CATARINENSE,0.0
NEL,0.9,Globo G1,NDONLINE,0.0
NEL,0.9,DIARIO CATARINENSE,NDONLINE,0.0
