technique,threshold,1,2,3,4,5
Doc2Vec,0.5,3050.0,2092.0,1649.0,1085.0,937.0
Doc2Vec,0.6,5813.0,2095.0,597.0,222.0,86.0
Doc2Vec,0.7,6706.0,1974.0,131.0,2.0,0.0
Doc2Vec,0.8,6933.0,1864.0,16.0,0.0,0.0
Doc2Vec,0.9,7048.0,1761.0,4.0,0.0,0.0
NEL,0.5,6832.0,1961.0,20.0,0.0,0.0
NEL,0.6,7017.0,1791.0,5.0,0.0,0.0
NEL,0.7,7164.0,1649.0,0.0,0.0,0.0
NEL,0.8,7459.0,1354.0,0.0,0.0,0.0
NEL,0.9,8020.0,793.0,0.0,0.0,0.0
TF-IDF,0.5,6205.0,2328.0,258.0,22.0,0.0
TF-IDF,0.6,6693.0,2046.0,73.0,1.0,0.0
TF-IDF,0.7,6896.0,1880.0,37.0,0.0,0.0
TF-IDF,0.8,7002.0,1799.0,12.0,0.0,0.0
TF-IDF,0.9,7162.0,1648.0,3.0,0.0,0.0
BOW,0.5,5583.0,2636.0,538.0,56.0,0.0
BOW,0.6,6488.0,2179.0,136.0,10.0,0.0
BOW,0.7,6833.0,1930.0,50.0,0.0,0.0
BOW,0.8,6960.0,1832.0,21.0,0.0,0.0
BOW,0.9,7056.0,1754.0,3.0,0.0,0.0
